"Handle","Title","Status","Variant ID","Variant Title","Variant SKU","Variant Price","Variant Inventory Qty","Option1 Name","Option1 Value","Option2 Name","Option2 Value"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","active",55486754062722,"6 / Blue","BURNOUT-COWL-TOP-BLU-6","30.00",26,"Size","6","Color","Blue"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","active",55486754095490,"8 / Blue","BURNOUT-COWL-TOP-BLU-8","30.00",15,"Size","8","Color","Blue"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","active",55486754128258,"10 / Blue","BURNOUT-COWL-TOP-BLU-10","30.00",8,"Size","10","Color","Blue"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","active",55486754161026,"12 / Blue","BURNOUT-COWL-TOP-BLU-12","30.00",0,"Size","12","Color","Blue"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","active",55486754193794,"14 / Blue","BURNOUT-COWL-TOP-BLU-14","30.00",6,"Size","14","Color","Blue"
"the-cove-mini-grey-knit","The cove knit mini - cloud","active",56015650980226,"4 / Knit","COVE-KNIT-GEN-KNI-4","45.00",0,"Size","4","Color","Knit"
"the-cove-mini-grey-knit","The cove knit mini - cloud","active",55993154666882,"6 / Knit","COVE-KNIT-GEN-KNI-6","45.00",0,"Size","6","Color","Knit"
"the-cove-mini-grey-knit","The cove knit mini - cloud","active",55993154699650,"8 / Knit","COVE-KNIT-GEN-KNI-8","45.00",0,"Size","8","Color","Knit"
"the-cove-mini-grey-knit","The cove knit mini - cloud","active",55993154732418,"10 / Knit","COVE-KNIT-GEN-KNI-10","45.00",0,"Size","10","Color","Knit"
"the-cove-mini-grey-knit","The cove knit mini - cloud","active",55993154765186,"12 / Knit","COVE-KNIT-GEN-KNI-12","45.00",6,"Size","12","Color","Knit"
"the-cove-mini-grey-knit","The cove knit mini - cloud","active",55993154797954,"14 / Knit","COVE-KNIT-GEN-KNI-14","45.00",3,"Size","14","Color","Knit"
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","active",56604623929730,"4 / Blue & Purple Floral","COWL-MAXI-GEN-FLO-4","38.00",0,"Size","4","Color","Blue & Purple Floral"
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","active",56604623962498,"6 / Blue & Purple Floral","COWL-MAXI-GEN-FLO-6","38.00",0,"Size","6","Color","Blue & Purple Floral"
