"Handle","Title","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price"
"the-amore-set-taupe","The amore corset set - Taupe","Size","XS (4-6)","Color","Taupe","AMORE-CRST-TAU-XS","70.00"
"the-amore-set-taupe","The amore corset set - Taupe","Size","S (6-8)","Color","Taupe","AMORE-CRST-TAU-S","70.00"
"the-amore-set-taupe","The amore corset set - Taupe","Size","M (8-10)","Color","Taupe","AMORE-CRST-TAU-M","70.00"
"the-amore-set-taupe","The amore corset set - Taupe","Size","L (10-12)","Color","Taupe","AMORE-CRST-TAU-L","70.00"
"the-amore-set-taupe","The amore corset set - Taupe","Size","XL (12-14)","Color","Taupe","AMORE-CRST-TAU-XL","70.00"
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - Khaki","Size","4","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-4","22.00"
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - Khaki","Size","6","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-6","22.00"
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - Khaki","Size","8","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-8","22.00"
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - Khaki","Size","10","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-10","22.00"
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - Khaki","Size","12","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-12","22.00"
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - Khaki","Size","14","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-14","22.00"
