"Handle","Title","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - white floral","Size","4","Color","Floral","MAXI-SKT-FLO-4-1","26.00"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - white floral","Size","6","Color","Floral","MAXI-SKT-FLO-6-1","26.00"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - white floral","Size","8","Color","Floral","MAXI-SKT-FLO-8-1","26.00"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - white floral","Size","10","Color","Floral","MAXI-SKT-FLO-10-1","26.00"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - white floral","Size","12","Color","Floral","MAXI-SKT-FLO-12-1","26.00"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - white floral","Size","14","Color","Floral","MAXI-SKT-FLO-14-1","26.00"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - white floral","Size","16","Color","Floral","MAXI-SKT-FLO-16-1","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - black floral","Size","4","Color","Floral","MAXI-SKT-FLO-4","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - black floral","Size","6","Color","Floral","MAXI-SKT-FLO-6","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - black floral","Size","8","Color","Floral","MAXI-SKT-FLO-8","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - black floral","Size","10","Color","Floral","MAXI-SKT-FLO-10","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - black floral","Size","12","Color","Floral","MAXI-SKT-FLO-12","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - black floral","Size","14","Color","Floral","MAXI-SKT-FLO-14","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - black floral","Size","16","Color","Floral","MAXI-SKT-FLO-16","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - lemon","Size","4","Color","Lemon","MAXI-SKT-LEM-4","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - lemon","Size","6","Color","Lemon","MAXI-SKT-LEM-6","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - lemon","Size","8","Color","Lemon","MAXI-SKT-LEM-8","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - lemon","Size","10","Color","Lemon","MAXI-SKT-LEM-10","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - lemon","Size","12","Color","Lemon","MAXI-SKT-LEM-12","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - lemon","Size","14","Color","Lemon","MAXI-SKT-LEM-14","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - lemon","Size","16","Color","Lemon","MAXI-SKT-LEM-16","26.00"
"the-lace-maxi-skirt-milkshake-pink","The lace maxi skirt - milkshake pink","Size","4","Color","Pink","MAXI-SKT-PNK-4","26.00"
"the-lace-maxi-skirt-milkshake-pink","The lace maxi skirt - milkshake pink","Size","6","Color","Pink","MAXI-SKT-PNK-6","26.00"
"the-lace-maxi-skirt-milkshake-pink","The lace maxi skirt - milkshake pink","Size","8","Color","Pink","MAXI-SKT-PNK-8","26.00"
