"Handle","Variant SKU","Metafield: custom.color"
"the-amara-lace-lace-top-corset-black","AMARA-BLACK-CRST-BLK-S","Black"
"the-amara-lace-lace-top-corset-black","AMARA-BLACK-CRST-BLK-M","Black"
"the-amara-lace-lace-top-corset-black","AMARA-BLACK-CRST-BLK-L","Black"
