"Handle","Title","Vendor","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price","Variant Metafield: custom.colour","Variant Metafield: custom.fabric","Variant Metafield: custom.features"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Koko Bay","TRUE","Size","XS (4-6)","Color","Black","AMARA-TRS-BLK-XS","30.00","Black","Lace",""
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Koko Bay","TRUE","Size","S (6-8)","Color","Black","AMARA-TRS-BLK-S","30.00","Black","Lace",""
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Koko Bay","TRUE","Size","M (8-10)","Color","Black","AMARA-TRS-BLK-M","30.00","Black","Lace",""
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Koko Bay","TRUE","Size","L (10-12)","Color","Black","AMARA-TRS-BLK-L","30.00","Black","Lace",""
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Koko Bay","TRUE","Size","XL (12-14)","Color","Black","AMARA-TRS-BLK-XL","30.00","Black","Lace",""
