"Handle","Title","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - Floral","Size","4","Color","Floral","MAXI-SKT-FLO-4-1","26.00"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - Floral","Size","6","Color","Floral","MAXI-SKT-FLO-6-1","26.00"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - Floral","Size","8","Color","Floral","MAXI-SKT-FLO-8-1","26.00"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - Floral","Size","10","Color","Floral","MAXI-SKT-FLO-10-1","26.00"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - Floral","Size","12","Color","Floral","MAXI-SKT-FLO-12-1","26.00"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - Floral","Size","14","Color","Floral","MAXI-SKT-FLO-14-1","26.00"
"the-lace-maxi-skirt-white-floral","The lace maxi skirt - Floral","Size","16","Color","Floral","MAXI-SKT-FLO-16-1","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - Floral","Size","4","Color","Floral","MAXI-SKT-FLO-4","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - Floral","Size","6","Color","Floral","MAXI-SKT-FLO-6","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - Floral","Size","8","Color","Floral","MAXI-SKT-FLO-8","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - Floral","Size","10","Color","Floral","MAXI-SKT-FLO-10","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - Floral","Size","12","Color","Floral","MAXI-SKT-FLO-12","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - Floral","Size","14","Color","Floral","MAXI-SKT-FLO-14","26.00"
"the-lace-maxi-skirt-black-floral","The lace maxi skirt - Floral","Size","16","Color","Floral","MAXI-SKT-FLO-16","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - Lemon","Size","4","Color","Lemon","MAXI-SKT-LEM-4","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - Lemon","Size","6","Color","Lemon","MAXI-SKT-LEM-6","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - Lemon","Size","8","Color","Lemon","MAXI-SKT-LEM-8","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - Lemon","Size","10","Color","Lemon","MAXI-SKT-LEM-10","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - Lemon","Size","12","Color","Lemon","MAXI-SKT-LEM-12","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - Lemon","Size","14","Color","Lemon","MAXI-SKT-LEM-14","26.00"
"the-lace-maxi-skirt-lemon","The lace maxi skirt - Lemon","Size","16","Color","Lemon","MAXI-SKT-LEM-16","26.00"
"the-lace-maxi-skirt-milkshake-pink","The lace maxi skirt - Pink","Size","4","Color","Pink","MAXI-SKT-PNK-4","26.00"
"the-lace-maxi-skirt-milkshake-pink","The lace maxi skirt - Pink","Size","6","Color","Pink","MAXI-SKT-PNK-6","26.00"
"the-lace-maxi-skirt-milkshake-pink","The lace maxi skirt - Pink","Size","8","Color","Pink","MAXI-SKT-PNK-8","26.00"
"the-lace-maxi-skirt-milkshake-pink","The lace maxi skirt - Pink","Size","10","Color","Pink","MAXI-SKT-PNK-10","26.00"
"the-lace-maxi-skirt-milkshake-pink","The lace maxi skirt - Pink","Size","12","Color","Pink","MAXI-SKT-PNK-12","26.00"
"the-lace-maxi-skirt-milkshake-pink","The lace maxi skirt - Pink","Size","14","Color","Pink","MAXI-SKT-PNK-14","26.00"
"the-lace-maxi-skirt-milkshake-pink","The lace maxi skirt - Pink","Size","16","Color","Pink","MAXI-SKT-PNK-16","26.00"
"the-lace-maxi-skirt-sage","The lace maxi skirt - Sage","Size","4","Color","Sage","MAXI-SKT-SAG-4","26.00"
"the-lace-maxi-skirt-sage","The lace maxi skirt - Sage","Size","6","Color","Sage","MAXI-SKT-SAG-6","26.00"
"the-lace-maxi-skirt-sage","The lace maxi skirt - Sage","Size","8","Color","Sage","MAXI-SKT-SAG-8","26.00"
"the-lace-maxi-skirt-sage","The lace maxi skirt - Sage","Size","10","Color","Sage","MAXI-SKT-SAG-10","26.00"
"the-lace-maxi-skirt-sage","The lace maxi skirt - Sage","Size","12","Color","Sage","MAXI-SKT-SAG-12","26.00"
"the-lace-maxi-skirt-sage","The lace maxi skirt - Sage","Size","14","Color","Sage","MAXI-SKT-SAG-14","26.00"
"the-lace-maxi-skirt-sage","The lace maxi skirt - Sage","Size","16","Color","Sage","MAXI-SKT-SAG-16","26.00"
"the-lace-maxi-skirt-navy","The lace maxi skirt - Navy","Size","4","Color","Navy","MAXI-SKT-NAV-4","26.00"
"the-lace-maxi-skirt-navy","The lace maxi skirt - Navy","Size","6","Color","Navy","MAXI-SKT-NAV-6","26.00"
"the-lace-maxi-skirt-navy","The lace maxi skirt - Navy","Size","8","Color","Navy","MAXI-SKT-NAV-8","26.00"
"the-lace-maxi-skirt-navy","The lace maxi skirt - Navy","Size","10","Color","Navy","MAXI-SKT-NAV-10","26.00"
"the-lace-maxi-skirt-navy","The lace maxi skirt - Navy","Size","12","Color","Navy","MAXI-SKT-NAV-12","26.00"
"the-lace-maxi-skirt-navy","The lace maxi skirt - Navy","Size","14","Color","Navy","MAXI-SKT-NAV-14","26.00"
"the-lace-maxi-skirt-wine","The lace maxi skirt - Wine","Size","4","Color","Wine","MAXI-SKT-WIN-4","26.00"
"the-lace-maxi-skirt-wine","The lace maxi skirt - Wine","Size","6","Color","Wine","MAXI-SKT-WIN-6","26.00"
"the-lace-maxi-skirt-wine","The lace maxi skirt - Wine","Size","8","Color","Wine","MAXI-SKT-WIN-8","26.00"
"the-lace-maxi-skirt-wine","The lace maxi skirt - Wine","Size","10","Color","Wine","MAXI-SKT-WIN-10","26.00"
"the-lace-maxi-skirt-wine","The lace maxi skirt - Wine","Size","12","Color","Wine","MAXI-SKT-WIN-12","26.00"
"the-lace-maxi-skirt-wine","The lace maxi skirt - Wine","Size","14","Color","Wine","MAXI-SKT-WIN-14","26.00"
"the-lace-maxi-skirt-powder-blue","The lace maxi skirt - Blue","Size","4","Color","Blue","MAXI-SKT-BLU-4","26.00"
"the-lace-maxi-skirt-powder-blue","The lace maxi skirt - Blue","Size","6","Color","Blue","MAXI-SKT-BLU-6","26.00"
"the-lace-maxi-skirt-powder-blue","The lace maxi skirt - Blue","Size","8","Color","Blue","MAXI-SKT-BLU-8","26.00"
"the-lace-maxi-skirt-powder-blue","The lace maxi skirt - Blue","Size","10","Color","Blue","MAXI-SKT-BLU-10","26.00"
"the-lace-maxi-skirt-powder-blue","The lace maxi skirt - Blue","Size","12","Color","Blue","MAXI-SKT-BLU-12","26.00"
"the-lace-maxi-skirt-powder-blue","The lace maxi skirt - Blue","Size","14","Color","Blue","MAXI-SKT-BLU-14","26.00"
"the-lace-maxi-skirt-powder-blue","The lace maxi skirt - Blue","Size","16","Color","Blue","MAXI-SKT-BLU-16","26.00"
"the-lace-structured-corset-black","The lace structured corset - Black","Size","4","Color","Black","STRUCTURED-CRST-BLK-4","38.00"
"the-lace-structured-corset-black","The lace structured corset - Black","Size","6","Color","Black","STRUCTURED-CRST-BLK-6","38.00"
"the-lace-structured-corset-black","The lace structured corset - Black","Size","8","Color","Black","STRUCTURED-CRST-BLK-8","38.00"
"the-lace-structured-corset-black","The lace structured corset - Black","Size","10","Color","Black","STRUCTURED-CRST-BLK-10","38.00"
"the-lace-structured-corset-black","The lace structured corset - Black","Size","12","Color","Black","STRUCTURED-CRST-BLK-12","38.00"
"the-lace-structured-corset-black","The lace structured corset - Black","Size","14","Color","Black","STRUCTURED-CRST-BLK-14","38.00"
"the-lace-structured-corset-black","The lace structured corset - Black","Size","16","Color","Black","STRUCTURED-CRST-BLK-16","38.00"
"the-lace-trim-bikini-bottoms-paisley-1","The lace trim bikini bottoms - Paisley","Size","XS (4-6)","Color","Paisley","TRIM-BOTTOMS-BIK-XXX-XS","26.00"
"the-lace-trim-bikini-bottoms-paisley-1","The lace trim bikini bottoms - Paisley","Size","S (6-8)","Color","Paisley","TRIM-BOTTOMS-BIK-XXX-S","26.00"
"the-lace-trim-bikini-bottoms-paisley-1","The lace trim bikini bottoms - Paisley","Size","M (8-10)","Color","Paisley","TRIM-BOTTOMS-BIK-XXX-M","26.00"
"the-lace-trim-bikini-bottoms-paisley-1","The lace trim bikini bottoms - Paisley","Size","L (10-12)","Color","Paisley","TRIM-BOTTOMS-BIK-XXX-L","26.00"
"the-lace-trim-bikini-bottoms-paisley-1","The lace trim bikini bottoms - Paisley","Size","XL (12-14)","Color","Paisley","TRIM-BOTTOMS-BIK-XXX-XL","26.00"
"the-lace-trim-bikini-bottoms-pink-floral","The lace trim bikini bottoms - Floral","Size","XS (4-6)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-XS-1","26.00"
"the-lace-trim-bikini-bottoms-pink-floral","The lace trim bikini bottoms - Floral","Size","S (6-8)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-S-1","26.00"
"the-lace-trim-bikini-bottoms-pink-floral","The lace trim bikini bottoms - Floral","Size","M (8-10)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-M-1","26.00"
"the-lace-trim-bikini-bottoms-pink-floral","The lace trim bikini bottoms - Floral","Size","L (10-12)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-L-1","26.00"
"the-lace-trim-bikini-bottoms-pink-floral","The lace trim bikini bottoms - Floral","Size","XL (12-14)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-XL-1","26.00"
"the-lace-trim-bikini-bottoms-blue-floral","The lace trim bikini bottoms - Floral","Size","XS (4-6)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-XS","26.00"
"the-lace-trim-bikini-bottoms-blue-floral","The lace trim bikini bottoms - Floral","Size","S (6-8)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-S","26.00"
"the-lace-trim-bikini-bottoms-blue-floral","The lace trim bikini bottoms - Floral","Size","M (8-10)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-M","26.00"
"the-lace-trim-bikini-bottoms-blue-floral","The lace trim bikini bottoms - Floral","Size","L (10-12)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-L","26.00"
"the-lace-trim-bikini-bottoms-blue-floral","The lace trim bikini bottoms - Floral","Size","XL (12-14)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-XL","26.00"
