"Handle","Title","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - White","Size","4","Color","White","CROCHET-FOLDOVER-SRT-WHT-4","26.00"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - White","Size","6","Color","White","CROCHET-FOLDOVER-SRT-WHT-6","26.00"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - White","Size","8","Color","White","CROCHET-FOLDOVER-SRT-WHT-8","26.00"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - White","Size","10","Color","White","CROCHET-FOLDOVER-SRT-WHT-10","26.00"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - White","Size","12","Color","White","CROCHET-FOLDOVER-SRT-WHT-12","26.00"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - White","Size","14","Color","White","CROCHET-FOLDOVER-SRT-WHT-14","26.00"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - White","Size","16","Color","White","CROCHET-FOLDOVER-SRT-WHT-16","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - Mocha Melt","Size","4","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-4","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - Mocha Melt","Size","6","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-6","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - Mocha Melt","Size","8","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-8","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - Mocha Melt","Size","10","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-10","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - Mocha Melt","Size","12","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-12","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - Mocha Melt","Size","14","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-14","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - Mocha Melt","Size","16","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-16","26.00"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - Lemon Sorbet","Size","4","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-4","26.00"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - Lemon Sorbet","Size","6","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-6","26.00"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - Lemon Sorbet","Size","8","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-8","26.00"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - Lemon Sorbet","Size","10","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-10","26.00"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - Lemon Sorbet","Size","12","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-12","26.00"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - Lemon Sorbet","Size","14","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-14","26.00"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - Strawberry Sorbet","Size","4","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-4-1","26.00"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - Strawberry Sorbet","Size","6","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-6-1","26.00"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - Strawberry Sorbet","Size","8","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-8-1","26.00"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - Strawberry Sorbet","Size","10","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-10-1","26.00"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - Strawberry Sorbet","Size","12","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-12-1","26.00"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - Strawberry Sorbet","Size","14","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-14-1","26.00"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - Blueberry Cream","Size","4","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-4","28.00"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - Blueberry Cream","Size","6","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-6","28.00"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - Blueberry Cream","Size","8","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-8","28.00"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - Blueberry Cream","Size","10","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-10","28.00"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - Blueberry Cream","Size","12","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-12","28.00"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - Blueberry Cream","Size","14","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-14","28.00"
