"Redirect from","Redirect to"
"/products/the-amara-lace-lace-top-corset-black","/products/the-amara-lace-lace-top-corset?variant=56093970366850"
"/products/the-amara-lace-lace-trouser-black","/products/the-amara-lace-lace-trouser?variant=56094010999170"
