"Handle","Title","Color (product.metafields.shopify.color-pattern)"
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt",""
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt",""
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet",""
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet",""
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet",""
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet",""
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet",""
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet",""
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt",""
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt",""
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt",""
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt",""
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt",""
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt",""
"the-crochet-tan-bikini-bottoms-mocha-melt","The crochet tan bikini bottoms -  mocha melt",""
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white",""
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white",""
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white",""
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white",""
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white",""
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white",""
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white",""
