"Handle","Title","Vendor","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price","Color (product.metafields.shopify.color-pattern)","Fabric (product.metafields.shopify.fabric)","Clothing features (product.metafields.shopify.clothing-features)","Target gender (product.metafields.shopify.target-gender)","Age group (product.metafields.shopify.age-group)"
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Koko Bay","TRUE","Size","4","Color","Cream","BURNOUT-COWL-TOP-CRE-4","30.00","Beige","","Cowl","Female","Adult"
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Koko Bay","TRUE","Size","6","Color","Cream","BURNOUT-COWL-TOP-CRE-6","30.00","Beige","","Cowl","Female","Adult"
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Koko Bay","TRUE","Size","8","Color","Cream","BURNOUT-COWL-TOP-CRE-8","30.00","Beige","","Cowl","Female","Adult"
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Koko Bay","TRUE","Size","10","Color","Cream","BURNOUT-COWL-TOP-CRE-10","30.00","Beige","","Cowl","Female","Adult"
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Koko Bay","TRUE","Size","12","Color","Cream","BURNOUT-COWL-TOP-CRE-12","30.00","Beige","","Cowl","Female","Adult"
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Koko Bay","TRUE","Size","14","Color","Cream","BURNOUT-COWL-TOP-CRE-14","30.00","Beige","","Cowl","Female","Adult"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Koko Bay","TRUE","Size","4","Color","Blue","BURNOUT-COWL-TOP-BLU-4","30.00","Blue","","Cowl","Female","Adult"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Koko Bay","TRUE","Size","6","Color","Blue","BURNOUT-COWL-TOP-BLU-6","30.00","Blue","","Cowl","Female","Adult"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Koko Bay","TRUE","Size","8","Color","Blue","BURNOUT-COWL-TOP-BLU-8","30.00","Blue","","Cowl","Female","Adult"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Koko Bay","TRUE","Size","10","Color","Blue","BURNOUT-COWL-TOP-BLU-10","30.00","Blue","","Cowl","Female","Adult"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Koko Bay","TRUE","Size","12","Color","Blue","BURNOUT-COWL-TOP-BLU-12","30.00","Blue","","Cowl","Female","Adult"
