"Handle","Title","Body (HTML)","Vendor","Type","Product Category","Tags","Collection","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Inventory Qty","Variant Grams","Variant Image","Image Src","Metafield: custom.product_type_standard [single_line_text_field]","Metafield: custom.product_type_detail [single_line_text_field]","Metafield: custom.style [single_line_text_field]","Metafield: custom.material [single_line_text_field]","Metafield: custom.fit_type [single_line_text_field]","Metafield: custom.colour_family [single_line_text_field]","product_images_src"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>Fold over waist detail for adjustable coverage and styling</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Statement side tassel<br>
</li>
<li>Styled with our matching Amara lace top &amp; corset</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Trouser","","Dresses, solstice","CLOTHING","TRUE","Size","XS (4-6)","","","","30.00","shopify","deny","manual","17","100","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","","","","","","[""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0581_ea852bc4-875a-4c5f-9510-7def4d06d1a7.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0582_2a80083e-8880-471f-9b52-5fd777102ffe.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_3375fa29-0c9e-4d2d-a4fd-51502e100ea5.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0604_b10d5534-0526-437d-b7df-5b39eead5064.jpg?v=1765887816""]"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>Fold over waist detail for adjustable coverage and styling</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Statement side tassel<br>
</li>
<li>Styled with our matching Amara lace top &amp; corset</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Trouser","","Dresses, solstice","CLOTHING","TRUE","Size","S (6-8)","","","","30.00","shopify","deny","manual","15","100","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","","","","","","","[""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0581_ea852bc4-875a-4c5f-9510-7def4d06d1a7.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0582_2a80083e-8880-471f-9b52-5fd777102ffe.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_3375fa29-0c9e-4d2d-a4fd-51502e100ea5.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0604_b10d5534-0526-437d-b7df-5b39eead5064.jpg?v=1765887816""]"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>Fold over waist detail for adjustable coverage and styling</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Statement side tassel<br>
</li>
<li>Styled with our matching Amara lace top &amp; corset</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Trouser","","Dresses, solstice","CLOTHING","TRUE","Size","M (8-10)","","","","30.00","shopify","deny","manual","1","100","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","","","","","","","[""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0581_ea852bc4-875a-4c5f-9510-7def4d06d1a7.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0582_2a80083e-8880-471f-9b52-5fd777102ffe.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_3375fa29-0c9e-4d2d-a4fd-51502e100ea5.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0604_b10d5534-0526-437d-b7df-5b39eead5064.jpg?v=1765887816""]"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>Fold over waist detail for adjustable coverage and styling</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Statement side tassel<br>
</li>
<li>Styled with our matching Amara lace top &amp; corset</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Trouser","","Dresses, solstice","CLOTHING","TRUE","Size","L (10-12)","","","","30.00","shopify","deny","manual","0","100","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","","","","","","","[""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0581_ea852bc4-875a-4c5f-9510-7def4d06d1a7.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0582_2a80083e-8880-471f-9b52-5fd777102ffe.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_3375fa29-0c9e-4d2d-a4fd-51502e100ea5.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0604_b10d5534-0526-437d-b7df-5b39eead5064.jpg?v=1765887816""]"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>Fold over waist detail for adjustable coverage and styling</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Statement side tassel<br>
</li>
<li>Styled with our matching Amara lace top &amp; corset</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Trouser","","Dresses, solstice","CLOTHING","TRUE","Size","XL (12-14)","","","","30.00","shopify","deny","manual","4","100","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","","","","","","","[""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0581_ea852bc4-875a-4c5f-9510-7def4d06d1a7.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0582_2a80083e-8880-471f-9b52-5fd777102ffe.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_3375fa29-0c9e-4d2d-a4fd-51502e100ea5.jpg?v=1765887796"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0604_b10d5534-0526-437d-b7df-5b39eead5064.jpg?v=1765887816""]"
"the-amara-lace-lace-trouser-black","","","","","","","","FALSE","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0581_ea852bc4-875a-4c5f-9510-7def4d06d1a7.jpg?v=1765887796","","","","","","",""
"the-amara-lace-lace-trouser-black","","","","","","","","FALSE","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0582_2a80083e-8880-471f-9b52-5fd777102ffe.jpg?v=1765887796","","","","","","",""
"the-amara-lace-lace-trouser-black","","","","","","","","FALSE","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_3375fa29-0c9e-4d2d-a4fd-51502e100ea5.jpg?v=1765887796","","","","","","",""
"the-amara-lace-lace-trouser-black","","","","","","","","FALSE","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0604_b10d5534-0526-437d-b7df-5b39eead5064.jpg?v=1765887816","","","","","","",""
"the-amore-set-taupe","The amore corset set - taupe","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Three-piece set sold as one</li>
<li>Premium double layered fabric</li>
<li>Super soft and stretchy fabric</li>
<li>High-neck contoured bodysuit with zip up back</li>
<li>Removable sculpting corset </li>
<li>Ruched mini skirt with statement front tassel<br>
</li>
<li>Refining flared sleeves</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Dresses","","Dresses, solstice","CLOTHING","TRUE","Size","XS (4-6)","","","","70.00","shopify","deny","manual","16","1115","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0739.jpg?v=1764261510","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0739.jpg?v=1764261510","","","","","","","[""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0739.jpg?v=1764261510"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0785.jpg?v=1764261510"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0788.jpg?v=1764261510"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0789.jpg?v=1764261510"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0755.jpg?v=1764261510"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0792.jpg?v=1764261510"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0749.jpg?v=1764261510"",""https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0793.jpg?v=1764261510""]"
