"Handle","Title","Size","Variant SKU","Variant ID"
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet","12","CROCHET-TAN-BIK-SOR-12-1",56604625338754
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet","14","CROCHET-TAN-BIK-SOR-14-1",56604625371522
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","The crochet tan bikini bottoms - strawberry sorbet","16","CROCHET-TAN-BIK-SOR-16-1",56604625404290
"the-crochet-tan-bikini-top-mocha-melt","The crochet tan bikini top -  mocha melt","4","CROCHET-TAN-BIK-MEL-4-1",55082773840258
"the-crochet-tan-bikini-top-mocha-melt","The crochet tan bikini top -  mocha melt","8","CROCHET-TAN-BIK-MEL-8-1",55082773905794
"the-crochet-tan-bikini-top-mocha-melt","The crochet tan bikini top -  mocha melt","10","CROCHET-TAN-BIK-MEL-10-1",55082773938562
"the-crochet-tan-bikini-top-mocha-melt","The crochet tan bikini top -  mocha melt","12","CROCHET-TAN-BIK-MEL-12-1",55082773971330
"the-crochet-tan-bikini-top-mocha-melt","The crochet tan bikini top -  mocha melt","14","CROCHET-TAN-BIK-MEL-14-1",55082774004098
"the-crochet-tan-bikini-top-black-white","The crochet tan bikini top - black & white","4","CROCHET-TAN-BIK-WHT-4-1",43974056214581
"the-crochet-tan-bikini-top-black-white","The crochet tan bikini top - black & white","6","CROCHET-TAN-BIK-WHT-6-1",43974056247349
"the-crochet-tan-bikini-top-black-white","The crochet tan bikini top - black & white","8","CROCHET-TAN-BIK-WHT-8-1",43974056280117
"the-crochet-tan-bikini-top-cherry-blush","The crochet tan bikini top - cherry swirl","4","CROCHET-TAN-BIK-BLU-4-1",56604626289026
"the-crochet-tan-bikini-top-cherry-blush","The crochet tan bikini top - cherry swirl","6","CROCHET-TAN-BIK-BLU-6-1",56604626321794
"the-crochet-tan-bikini-top-cherry-blush","The crochet tan bikini top - cherry swirl","8","CROCHET-TAN-BIK-BLU-8-1",56604626354562
"the-crochet-tan-bikini-top-cherry-blush","The crochet tan bikini top - cherry swirl","10","CROCHET-TAN-BIK-BLU-10-1",56604626387330
"the-crochet-tan-bikini-top-cherry-blush","The crochet tan bikini top - cherry swirl","12","CROCHET-TAN-BIK-BLU-12-1",56604626420098
"the-crochet-tan-bikini-top-cherry-blush","The crochet tan bikini top - cherry swirl","14","CROCHET-TAN-BIK-BLU-14-1",56604626452866
"the-crochet-tan-bikini-top-lemon-sorbet","The crochet tan bikini top - lemon sorbet","4","CROCHET-TAN-BIK-SOR-4-2",55082809229698
"the-crochet-tan-bikini-top-lemon-sorbet","The crochet tan bikini top - lemon sorbet","6","CROCHET-TAN-BIK-SOR-6-2",55082809262466
"the-crochet-tan-bikini-top-lemon-sorbet","The crochet tan bikini top - lemon sorbet","8","CROCHET-TAN-BIK-SOR-8-2",55082809295234
"the-crochet-tan-bikini-top-lemon-sorbet","The crochet tan bikini top - lemon sorbet","10","CROCHET-TAN-BIK-SOR-10-2",55082809328002
"the-crochet-tan-bikini-top-lemon-sorbet","The crochet tan bikini top - lemon sorbet","12","CROCHET-TAN-BIK-SOR-12-2",55082809360770
"the-crochet-tan-bikini-top-strawberry-sorbet","The crochet tan bikini top - strawberry sorbet","6","CROCHET-TAN-BIK-SOR-6-3",55438013399426
"the-crochet-tan-bikini-top-strawberry-sorbet","The crochet tan bikini top - strawberry sorbet","8","CROCHET-TAN-BIK-SOR-8-3",55438013432194
"the-crochet-tan-bikini-top-strawberry-sorbet","The crochet tan bikini top - strawberry sorbet","10","CROCHET-TAN-BIK-SOR-10-3",55438013464962
"the-crochet-tan-bikini-top-strawberry-sorbet","The crochet tan bikini top - strawberry sorbet","12","CROCHET-TAN-BIK-SOR-12-3",55438013497730
"the-crochet-tan-bikini-top-strawberry-sorbet","The crochet tan bikini top - strawberry sorbet","14","CROCHET-TAN-BIK-SOR-14-3",55438013530498
"the-wide-band-bikini-bottoms-black-white-crochet","The crochet wide band bikini bottoms - black & white","16","CROCHET-WIDE-BIK-CRO-16",43974037209141
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","The crochet wide band bikini bottoms - lemon sorbet","4","CROCHET-WIDE-BIK-SOR-4",56604627665282
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","The crochet wide band bikini bottoms - lemon sorbet","6","CROCHET-WIDE-BIK-SOR-6",56604627698050
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","The crochet wide band bikini bottoms - lemon sorbet","8","CROCHET-WIDE-BIK-SOR-8",56604627730818
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","The crochet wide band bikini bottoms - lemon sorbet","10","CROCHET-WIDE-BIK-SOR-10",56604627763586
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","The crochet wide band bikini bottoms - lemon sorbet","12","CROCHET-WIDE-BIK-SOR-12",56604627796354
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","The crochet wide band bikini bottoms - lemon sorbet","14","CROCHET-WIDE-BIK-SOR-14",56604627829122
"the-crochet-wide-band-bikini-bottoms-mocha-melt","The crochet wide band bikini bottoms - mocha melt","4","CROCHET-WIDE-BIK-MEL-4",56604627468674
"the-crochet-wide-band-bikini-bottoms-mocha-melt","The crochet wide band bikini bottoms - mocha melt","6","CROCHET-WIDE-BIK-MEL-6",56604627501442
"the-crochet-wide-band-bikini-bottoms-mocha-melt","The crochet wide band bikini bottoms - mocha melt","8","CROCHET-WIDE-BIK-MEL-8",56604627534210
