"Handle","Title","Vendor","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price","Color (product.metafields.shopify.color-pattern)","Fabric (product.metafields.shopify.fabric)","Clothing features (product.metafields.shopify.clothing-features)","Target gender (product.metafields.shopify.target-gender)","Age group (product.metafields.shopify.age-group)"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Koko Bay","TRUE","Size","4","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-4","28.00","","","Leopard","Female","Adult"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Koko Bay","TRUE","Size","6","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-6","28.00","","","Leopard","Female","Adult"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Koko Bay","TRUE","Size","8","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-8","28.00","","","Leopard","Female","Adult"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Koko Bay","TRUE","Size","10","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-10","28.00","","","Leopard","Female","Adult"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Koko Bay","TRUE","Size","12","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-12","28.00","","","Leopard","Female","Adult"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Koko Bay","TRUE","Size","14","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-14","28.00","","","Leopard","Female","Adult"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Koko Bay","TRUE","Size","16","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-16","28.00","","","Leopard","Female","Adult"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Koko Bay","TRUE","Size","4","Color","White","FLOATY-SLEEVE-TOP-WHT-4","28.00","White","","","Female","Adult"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Koko Bay","TRUE","Size","6","Color","White","FLOATY-SLEEVE-TOP-WHT-6","28.00","White","","","Female","Adult"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Koko Bay","TRUE","Size","8","Color","White","FLOATY-SLEEVE-TOP-WHT-8","28.00","White","","","Female","Adult"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Koko Bay","TRUE","Size","10","Color","White","FLOATY-SLEEVE-TOP-WHT-10","28.00","White","","","Female","Adult"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Koko Bay","TRUE","Size","12","Color","White","FLOATY-SLEEVE-TOP-WHT-12","28.00","White","","","Female","Adult"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Koko Bay","TRUE","Size","14","Color","White","FLOATY-SLEEVE-TOP-WHT-14","28.00","White","","","Female","Adult"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Koko Bay","TRUE","Size","16","Color","White","FLOATY-SLEEVE-TOP-WHT-16","28.00","White","","","Female","Adult"
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream","Koko Bay","TRUE","Size","4","Color","Cream","FOLD-OVER-SKT-CRE-4","32.00","Beige","","","Female","Adult"
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream","Koko Bay","TRUE","Size","6","Color","Cream","FOLD-OVER-SKT-CRE-6","32.00","Beige","","","Female","Adult"
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream","Koko Bay","TRUE","Size","8","Color","Cream","FOLD-OVER-SKT-CRE-8","32.00","Beige","","","Female","Adult"
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream","Koko Bay","TRUE","Size","10","Color","Cream","FOLD-OVER-SKT-CRE-10","32.00","Beige","","","Female","Adult"
