"Handle","Title","Vendor","Product Category","Product Type","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price","Color (product.metafields.shopify.color-pattern)","Fabric (product.metafields.shopify.fabric)","Clothing features (product.metafields.shopify.clothing-features)","Target gender (product.metafields.shopify.target-gender)","Age group (product.metafields.shopify.age-group)"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Koko Bay","","","TRUE","Size","XS (4-6)","Color","Black","AMARA-BLACK-CRST-BLK-XS","35.00","Black","Lace","Corset","Female","Adult"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Koko Bay","","","TRUE","Size","S (6-8)","Color","Black","AMARA-BLACK-CRST-BLK-S","35.00","Black","Lace","Corset","Female","Adult"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Koko Bay","","","TRUE","Size","M (8-10)","Color","Black","AMARA-BLACK-CRST-BLK-M","35.00","Black","Lace","Corset","Female","Adult"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Koko Bay","","","TRUE","Size","L (10-12)","Color","Black","AMARA-BLACK-CRST-BLK-L","35.00","Black","Lace","Corset","Female","Adult"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Koko Bay","","","TRUE","Size","XL (12-14)","Color","Black","AMARA-BLACK-CRST-BLK-XL","35.00","Black","Lace","Corset","Female","Adult"
