"Handle","Title","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Size","4","Color","Blue","BURNOUT-COWL-TOP-BLU-4","30.00"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Size","6","Color","Blue","BURNOUT-COWL-TOP-BLU-6","30.00"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Size","8","Color","Blue","BURNOUT-COWL-TOP-BLU-8","30.00"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Size","10","Color","Blue","BURNOUT-COWL-TOP-BLU-10","30.00"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Size","12","Color","Blue","BURNOUT-COWL-TOP-BLU-12","30.00"
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Size","14","Color","Blue","BURNOUT-COWL-TOP-BLU-14","30.00"
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Size","4","Color","Cream","BURNOUT-COWL-TOP-CRE-4","30.00"
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Size","6","Color","Cream","BURNOUT-COWL-TOP-CRE-6","30.00"
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Size","8","Color","Cream","BURNOUT-COWL-TOP-CRE-8","30.00"
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Size","10","Color","Cream","BURNOUT-COWL-TOP-CRE-10","30.00"
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Size","12","Color","Cream","BURNOUT-COWL-TOP-CRE-12","30.00"
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Size","14","Color","Cream","BURNOUT-COWL-TOP-CRE-14","30.00"
"the-cove-mini-grey-knit","The cove knit mini - cloud","Size","4","Color","Knit","COVE-KNIT-GEN-KNI-4","45.00"
"the-cove-mini-grey-knit","The cove knit mini - cloud","Size","6","Color","Knit","COVE-KNIT-GEN-KNI-6","45.00"
"the-cove-mini-grey-knit","The cove knit mini - cloud","Size","8","Color","Knit","COVE-KNIT-GEN-KNI-8","45.00"
"the-cove-mini-grey-knit","The cove knit mini - cloud","Size","10","Color","Knit","COVE-KNIT-GEN-KNI-10","45.00"
"the-cove-mini-grey-knit","The cove knit mini - cloud","Size","12","Color","Knit","COVE-KNIT-GEN-KNI-12","45.00"
"the-cove-mini-grey-knit","The cove knit mini - cloud","Size","14","Color","Knit","COVE-KNIT-GEN-KNI-14","45.00"
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","Size","4","Color","Floral","COWL-MAXI-GEN-FLO-4","38.00"
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","Size","6","Color","Floral","COWL-MAXI-GEN-FLO-6","38.00"
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","Size","8","Color","Floral","COWL-MAXI-GEN-FLO-8","38.00"
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","Size","10","Color","Floral","COWL-MAXI-GEN-FLO-10","38.00"
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","Size","12","Color","Floral","COWL-MAXI-GEN-FLO-12","38.00"
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","Size","14","Color","Floral","COWL-MAXI-GEN-FLO-14","38.00"
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","Size","4","Color","Floral","COWL-MAXI-GEN-FLO-4-1","38.00"
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","Size","6","Color","Floral","COWL-MAXI-GEN-FLO-6-1","38.00"
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","Size","8","Color","Floral","COWL-MAXI-GEN-FLO-8-1","38.00"
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","Size","10","Color","Floral","COWL-MAXI-GEN-FLO-10-1","38.00"
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","Size","12","Color","Floral","COWL-MAXI-GEN-FLO-12-1","38.00"
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","Size","14","Color","Floral","COWL-MAXI-GEN-FLO-14-1","38.00"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","4","Color","White","CROCHET-FOLDOVER-SRT-WHT-4","26.00"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","6","Color","White","CROCHET-FOLDOVER-SRT-WHT-6","26.00"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","8","Color","White","CROCHET-FOLDOVER-SRT-WHT-8","26.00"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","10","Color","White","CROCHET-FOLDOVER-SRT-WHT-10","26.00"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","12","Color","White","CROCHET-FOLDOVER-SRT-WHT-12","26.00"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","14","Color","White","CROCHET-FOLDOVER-SRT-WHT-14","26.00"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","16","Color","White","CROCHET-FOLDOVER-SRT-WHT-16","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","4","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-4","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","6","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-6","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","8","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-8","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","10","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-10","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","12","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-12","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","14","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-14","26.00"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","Size","16","Color","Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-16","26.00"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","Size","4","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-4","26.00"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","Size","6","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-6","26.00"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","Size","8","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-8","26.00"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","Size","10","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-10","26.00"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","Size","12","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-12","26.00"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","Size","14","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-14","26.00"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","Size","4","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-4-1","26.00"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","Size","6","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-6-1","26.00"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","Size","8","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-8-1","26.00"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","Size","10","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-10-1","26.00"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","Size","12","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-12-1","26.00"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","Size","14","Color","Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-14-1","26.00"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","Size","4","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-4","28.00"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","Size","6","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-6","28.00"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","Size","8","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-8","28.00"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","Size","10","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-10","28.00"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","Size","12","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-12","28.00"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","Size","14","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-14","28.00"
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","Size","4","Color","Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-4","28.00"
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","Size","6","Color","Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-6","28.00"
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","Size","8","Color","Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-8","28.00"
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","Size","10","Color","Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-10","28.00"
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","Size","12","Color","Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-12","28.00"
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","Size","14","Color","Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-14","28.00"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","4","Color","Black & White","CROCHET-MAXI-SKT-WHT-4","30.00"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","6","Color","Black & White","CROCHET-MAXI-SKT-WHT-6","30.00"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","8","Color","Black & White","CROCHET-MAXI-SKT-WHT-8","30.00"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","10","Color","Black & White","CROCHET-MAXI-SKT-WHT-10","30.00"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","12","Color","Black & White","CROCHET-MAXI-SKT-WHT-12","30.00"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","14","Color","Black & White","CROCHET-MAXI-SKT-WHT-14","30.00"
"the-crochet-maxi-skirt-black-white","The crochet maxi skirt - black & white","Size","16","Color","Black & White","CROCHET-MAXI-SKT-WHT-16","30.00"
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt","Size","4","Color","Mocha Melt","CROCHET-MAXI-SKT-MEL-4","30.00"
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt","Size","6","Color","Mocha Melt","CROCHET-MAXI-SKT-MEL-6","30.00"
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt","Size","8","Color","Mocha Melt","CROCHET-MAXI-SKT-MEL-8","30.00"
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt","Size","10","Color","Mocha Melt","CROCHET-MAXI-SKT-MEL-10","30.00"
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt","Size","12","Color","Mocha Melt","CROCHET-MAXI-SKT-MEL-12","30.00"
"the-crochet-maxi-skirt-mocha-melt","The crochet maxi skirt - mocha melt","Size","14","Color","Mocha Melt","CROCHET-MAXI-SKT-MEL-14","30.00"
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","Size","4","Color","Lemon Sorbet","CROCHET-MAXI-SKT-SOR-4","30.00"
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","Size","6","Color","Lemon Sorbet","CROCHET-MAXI-SKT-SOR-6","30.00"
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","Size","8","Color","Lemon Sorbet","CROCHET-MAXI-SKT-SOR-8","30.00"
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","Size","10","Color","Lemon Sorbet","CROCHET-MAXI-SKT-SOR-10","30.00"
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","Size","12","Color","Lemon Sorbet","CROCHET-MAXI-SKT-SOR-12","30.00"
"the-crochet-maxi-skirt-lemon-sorbet","The crochet maxi skirt - lemon sorbet","Size","14","Color","Lemon Sorbet","CROCHET-MAXI-SKT-SOR-14","30.00"
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet","Size","4","Color","Strawberry Sorbet","CROCHET-MAXI-SKT-SOR-4-1","30.00"
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet","Size","6","Color","Strawberry Sorbet","CROCHET-MAXI-SKT-SOR-6-1","30.00"
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet","Size","8","Color","Strawberry Sorbet","CROCHET-MAXI-SKT-SOR-8-1","30.00"
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet","Size","10","Color","Strawberry Sorbet","CROCHET-MAXI-SKT-SOR-10-1","30.00"
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet","Size","12","Color","Strawberry Sorbet","CROCHET-MAXI-SKT-SOR-12-1","30.00"
"the-crochet-maxi-skirt-strawberry-sorbet","The crochet maxi skirt - strawberry sorbet","Size","14","Color","Strawberry Sorbet","CROCHET-MAXI-SKT-SOR-14-1","30.00"
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white","Size","4","Color","Black & White","CROCHET-TAN-BIK-WHT-4","20.00"
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white","Size","6","Color","Black & White","CROCHET-TAN-BIK-WHT-6","20.00"
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white","Size","8","Color","Black & White","CROCHET-TAN-BIK-WHT-8","20.00"
"the-crochet-tan-bikini-bottoms-black-white","The crochet tan bikini bottoms - black & white","Size","10","Color","Black & White","CROCHET-TAN-BIK-WHT-10","20.00"
