"Handle","Title","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price"
"the-wide-band-bikini-top-black","The wide band bikini top - Black","Size","4","Color","Black","WIDE-BAND-BIK-BLK-4-1","22.00"
"the-wide-band-bikini-top-black","The wide band bikini top - Black","Size","6","Color","Black","WIDE-BAND-BIK-BLK-6-1","22.00"
"the-wide-band-bikini-top-black","The wide band bikini top - Black","Size","8","Color","Black","WIDE-BAND-BIK-BLK-8-1","22.00"
"the-wide-band-bikini-top-black","The wide band bikini top - Black","Size","10","Color","Black","WIDE-BAND-BIK-BLK-10-1","22.00"
"the-wide-band-bikini-top-black","The wide band bikini top - Black","Size","12","Color","Black","WIDE-BAND-BIK-BLK-12-1","22.00"
"the-wide-band-bikini-top-black","The wide band bikini top - Black","Size","14","Color","Black","WIDE-BAND-BIK-BLK-14-1","22.00"
"the-wide-band-bikini-top-black","The wide band bikini top - Black","Size","16","Color","Black","WIDE-BAND-BIK-BLK-16-1","22.00"
"the-wide-band-bikini-top-blue-paisley","The wide band bikini top - Paisley","Size","4","Color","Paisley","WIDE-BAND-BIK-PAI-4-1","24.00"
"the-wide-band-bikini-top-blue-paisley","The wide band bikini top - Paisley","Size","6","Color","Paisley","WIDE-BAND-BIK-PAI-6-1","24.00"
"the-wide-band-bikini-top-blue-paisley","The wide band bikini top - Paisley","Size","8","Color","Paisley","WIDE-BAND-BIK-PAI-8-1","24.00"
"the-wide-band-bikini-top-blue-paisley","The wide band bikini top - Paisley","Size","10","Color","Paisley","WIDE-BAND-BIK-PAI-10-1","24.00"
"the-wide-band-bikini-top-blue-paisley","The wide band bikini top - Paisley","Size","12","Color","Paisley","WIDE-BAND-BIK-PAI-12-1","24.00"
"the-wide-band-bikini-top-blue-paisley","The wide band bikini top - Paisley","Size","14","Color","Paisley","WIDE-BAND-BIK-PAI-14-1","24.00"
"the-wide-band-bikini-top-blue-paisley","The wide band bikini top - Paisley","Size","16","Color","Paisley","WIDE-BAND-BIK-PAI-16-1","24.00"
"the-wide-band-bikini-bottoms-blue-paisley","The wide band bikini bottoms - Paisley","Size","4","Color","Paisley","WIDE-BAND-BIK-PAI-4","20.00"
"the-wide-band-bikini-bottoms-blue-paisley","The wide band bikini bottoms - Paisley","Size","6","Color","Paisley","WIDE-BAND-BIK-PAI-6","20.00"
"the-wide-band-bikini-bottoms-blue-paisley","The wide band bikini bottoms - Paisley","Size","8","Color","Paisley","WIDE-BAND-BIK-PAI-8","20.00"
"the-wide-band-bikini-bottoms-blue-paisley","The wide band bikini bottoms - Paisley","Size","10","Color","Paisley","WIDE-BAND-BIK-PAI-10","20.00"
"the-wide-band-bikini-bottoms-blue-paisley","The wide band bikini bottoms - Paisley","Size","12","Color","Paisley","WIDE-BAND-BIK-PAI-12","20.00"
